state,pop,area,density
Aguascalientes,1184996,5616,211
Baja California,3155070,71450,44.16
Baja California Sur,637026,73909,8.62
Campeche,822441,57507,14.3
Coahuila de Zaragoza,2748391,151595,18.13
Colima,650555,5627,115.61
Chiapas,4796580,73311,65.43
Chihuahua,3406465,247460,13.77
Distrito Federal,8851080,1495,5920.45
Durango,1632934,123317,13.24
Guanajuato,5486372,30607,179.25
Guerrero,3388768,63596,53.29
Hidalgo,2665018,20813,128.05
Jalisco,7350682,78588,93.53
Mexico,15175862,22351,678.98
Michoacan de Ocampo,4351037,58599,74.25
Morelos,1777227,4879,364.26
Nayarit,1084979,27857,38.95
Nuevo Leon,4653458,64156,72.53
Oaxaca,3801962,93757,40.55
Puebla,5779829,34306,168.48
Queretaro,1827937,11699,156.25
Quintana Roo,1325578,44705,29.65
San Luis Potosi,2585518,61137,42.29
Sinaloa,2767761,58200,47.56
Sonora,2662480,179355,14.84
Tabasco,2238603,24731,90.52
Tamaulipas,3268554,80249,40.73
Tlaxcala,1169936,3997,292.7
Veracruz de Ignacio de la Llave,7643194,71826,106.41
Yucatan,1955577,39524,49.48
Zacatecas,1490668,75284,19.8
